TYPE,NAME,file_path,drive_share_link,intended_use,notes
audio,I Cried For You,audio/mp3/I Cried For You.mp3,,streaming/sync,emotional ballad
audio,I Don't Know,audio/mp3/I Don't Know.mp3,,streaming/sync,uncertainty theme
audio,I've Got Love,audio/mp3/I've Got Love.mp3,,streaming/sync,love theme
audio,In Your Mind,audio/mp3/In Your Mind.mp3,,streaming/sync,psychological theme
audio,Metaphors,audio/mp3/Metaphors.mp3,,streaming/sync,lyrical/poetic
audio,Mr. Big Man,audio/mp3/Mr. Big Man.mp3,,streaming/sync,character study
audio,One Night,audio/mp3/One Night.mp3,,streaming/sync,night theme
audio,Rede My Soul (Piano version),audio/mp3/Rede My Soul (Piano version).mp3,,streaming/sync,piano arrangement
audio,Slipping,audio/mp3/Slipping.mp3,,streaming/sync,decline theme
audio,The Elephant in the Room,audio/mp3/The Elephant in the Room.mp3,,streaming/sync,confrontational
audio,Torn,audio/mp3/Torn.mp3,,streaming/sync,conflict theme
audio,Two Lovebirds,audio/mp3/Two Lovebirds.mp3,,streaming/sync,romance theme
audio,What Are You Waiting For,audio/mp3/What Are You Waiting For.mp3,,streaming/sync,urgency theme
audio,Without Becoming Undone,audio/mp3/Without Becoming Undone.mp3,,streaming/sync,resilience theme
release_image,Mr. Big Man,images/releases/Mr. Big Man.jpg,,album artwork,character portrait
release_image,Without Becoming Undone,images/releases/Without Becoming Undone.png,,album artwork,resilience visual
release_image,The Elephant in the Room,images/releases/The Elephant is in the Room 1x1.jpg,,album artwork,confrontation visual
release_image,Two Lovebirds,images/releases/Take Me Away.jpg,,album artwork,romance visual
release_image,Torn,images/releases/Album cover TORN.png,,album artwork,conflict visual
release_image,Drag Them to the Deep,images/releases/Drag Them to the Deep.jpeg,,album artwork,dark visual
release_image,I Don't Know,images/releases/I_Dont_Know_Album_Cover.jpg,,album artwork,uncertainty visual
release_image,Slipping,images/releases/Slipping.jpg,,album artwork,decline visual
release_image,Bare Naked Edited Filter,images/releases/BARE NAKED EDITED FILTER.jpg,,album artwork,filtered visual
release_image,Bare Naked Edited Filter (Remix),images/releases/BNEF Remix.jpg,,album artwork,remix visual
release_image,Gen-X,images/releases/Gen X.jpg,,album artwork,generational theme
release_image,Carolina Inspiration - Stagecoach 2025,images/releases/carolina inspiration.jpg,,album artwork,country visual
release_image,Dangerous Energy,images/releases/Dangerous Energy.jpg,,album artwork,energy visual
release_image,One Night,images/releases/1 night vers a.jpg,,album artwork,night visual
release_image,I've Got Love,images/releases/I got Love.jpg,,album artwork,love visual
release_image,Metaphors,images/releases/Metaphors_Album_Cover_9x16.jpg,,album artwork,metaphor visual
release_image,What Are You Waiting For,images/releases/What_Are_You_Waiting_For_Album_Cover.jpg,,album artwork,urgency visual
release_image,Go On,images/releases/Go On.png,,album artwork,motivation visual
lyrics,A SKYSCRAPER,lyrics/A_SKYSCRAPER.txt,,reference/licensing,song lyrics
lyrics,Ain't going to Let you,lyrics/Aint_going_to_Let_you.txt,,reference/licensing,song lyrics
lyrics,Bare Naked Edited Filter,lyrics/Bare_Naked_Edited_Filter.txt,,reference/licensing,song lyrics
lyrics,Changed,lyrics/Changed.txt,,reference/licensing,song lyrics
lyrics,Dangerous Energy,lyrics/Dangerous_Energy.txt,,reference/licensing,song lyrics
lyrics,Drag Them to the Deep,lyrics/Drag_Them_to_the_Deep.txt,,reference/licensing,song lyrics
lyrics,Drink Slow (Rock),lyrics/Drink_Slow_Rock.txt,,reference/licensing,song lyrics
lyrics,Eternally,lyrics/Eternally.txt,,reference/licensing,song lyrics
lyrics,Free Use,lyrics/Free_Use.txt,,reference/licensing,song lyrics
lyrics,Hope Wins Over Reasoning,lyrics/Hope_Wins_Over_Reasoning.txt,,reference/licensing,song lyrics
lyrics,I Can't Dance,lyrics/I_Cant_Dance.txt,,reference/licensing,song lyrics
lyrics,I Don't Know,lyrics/I_Dont_Know.txt,,reference/licensing,song lyrics
lyrics,In Your Mind,lyrics/In_Your_Mind.txt,,reference/licensing,song lyrics
lyrics,Mr. Big Man,lyrics/Mr_Big_Man.txt,,reference/licensing,song lyrics
lyrics,Slipping,lyrics/Slipping.txt,,reference/licensing,song lyrics
lyrics,The Elephant in the Room,lyrics/The_Elephant_in_the_Room.txt,,reference/licensing,song lyrics
lyrics,Torn,lyrics/Torn.txt,,reference/licensing,song lyrics
lyrics,Two Lovebirds,lyrics/Two_Lovebirds.txt,,reference/licensing,song lyrics
lyrics,What Are You Waiting For,lyrics/What_Are_You_Waiting_For.txt,,reference/licensing,song lyrics
lyrics,Without Becoming Undone,lyrics/Without_Becoming_Undone.txt,,reference/licensing,song lyrics
